Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.716064453125,94.90049743652344,68.1083755493164,153.3232421875,28.68400001525879
2020-01-03,72.00914001464844,93.74849700927734,67.7520751953125,151.4141387939453,29.534000396728516
2020-01-06,72.58291625976562,95.14399719238281,69.55794525146484,151.8054962158203,30.1026668548584
2020-01-07,72.24154663085938,95.34300231933594,69.423583984375,150.42135620117188,31.270666122436523
2020-01-08,73.40364837646484,94.59850311279297,69.917724609375,152.81732177734375,32.80933380126953
2020-01-09,74.9627914428711,95.05249786376953,70.65171813964844,154.72647094726562,32.089332580566406
2020-01-10,75.13227081298828,94.15799713134766,71.10802459716797,154.01051330566406,31.876667022705078
2020-01-13,76.73743438720703,94.56500244140625,71.65890502929688,155.8624267578125,34.990665435791016
2020-01-14,75.70122528076172,93.47200012207031,71.18914794921875,154.7646484375,35.861331939697266
2020-01-15,75.37678527832031,93.10099792480469,71.61759948730469,155.76693725585938,34.56666564941406
2020-01-16,76.32100677490234,93.89700317382812,72.16299438476562,158.6211395263672,34.232666015625
2020-01-17,77.16593933105469,93.23600006103516,73.62400817871094,159.50888061523438,34.03333282470703
2020-01-21,76.64301300048828,94.5999984741211,73.7598648071289,158.93618774414062,36.47999954223633
2020-01-22,76.91658020019531,94.37300109863281,73.84046173095703,158.1724853515625,37.97066879272461
2020-01-23,77.28699493408203,94.22899627685547,73.88127136230469,159.1461639404297,38.14666748046875
2020-01-24,77.06427001953125,93.08200073242188,72.95967864990234,157.5424346923828,37.654666900634766
2020-01-27,74.79815673828125,91.41699981689453,71.24588012695312,154.9078826904297,37.201332092285156
2020-01-28,76.91415405273438,92.6624984741211,72.17991638183594,157.9434356689453,37.793331146240234
2020-01-29,78.52413940429688,92.9000015258789,72.4884262084961,160.4062042236328,38.732666015625
2020-01-30,78.41036987304688,93.53399658203125,72.36652374267578,164.9308319091797,42.72066879272461
2020-01-31,74.93374633789062,100.43599700927734,71.29812622070312,162.49668884277344,43.371334075927734
2020-02-03,74.72795867919922,100.20999908447266,73.77726745605469,166.45819091796875,52.0
2020-02-04,77.19499206542969,102.4834976196289,71.92662048339844,171.9373779296875,59.137332916259766
2020-02-05,77.82447814941406,101.99349975585938,71.9584732055664,171.72738647460938,48.97999954223633
2020-02-06,78.73477935791016,102.5114974975586,73.44735717773438,175.28797912597656,49.930667877197266
2020-02-07,77.66458129882812,103.96399688720703,73.60359954833984,175.53614807128906,49.871334075927734
2020-02-10,78.03343963623047,106.69550323486328,75.07408142089844,180.1276092529297,51.41866683959961
2020-02-11,77.56266021728516,107.54000091552734,75.14374542236328,176.06118774414062,51.62533187866211
2020-02-12,79.4045639038086,108.0,75.57020568847656,176.31890869140625,51.15266799926758
2020-02-13,78.83914184570312,107.49349975585938,75.30945587158203,175.36431884765625,53.599998474121094
2020-02-14,78.85855865478516,106.74349975585938,75.57518005371094,176.92982482910156,53.33533477783203
2020-02-18,77.41459655761719,107.78350067138672,75.61051177978516,178.7244110107422,57.22666549682617
2020-02-19,78.5357894897461,108.51100158691406,75.8807144165039,179.26043701171875,61.16133117675781
2020-02-20,77.73008728027344,107.65499877929688,75.48859405517578,176.52291870117188,59.96066665649414
2020-02-21,75.97066497802734,104.79850006103516,73.820068359375,170.94253540039062,60.06666564941406
2020-02-24,72.36203002929688,100.4645004272461,70.65519714355469,163.572265625,55.58599853515625
2020-02-25,69.91095733642578,98.63700103759766,68.9861831665039,160.87307739257812,53.32733154296875
2020-02-26,71.02001953125,98.97949981689453,69.19269561767578,162.88314819335938,51.91999816894531
2020-02-27,66.37754821777344,94.21499633789062,65.43466186523438,151.4065399169922,45.266666412353516
2020-02-28,66.3387222290039,94.1875,66.64387512207031,155.07249450683594,44.53266525268555
2020-03-02,72.51492309570312,97.69750213623047,68.9861831665039,165.39093017578125,49.574668884277344
2020-03-03,70.21187591552734,95.44950103759766,66.56774139404297,157.46546936035156,49.70066833496094
2020-03-04,73.46864318847656,98.79149627685547,68.75130462646484,163.24679565429688,49.96666717529297
2020-03-05,71.08554077148438,96.20149993896484,65.42520141601562,159.15013122558594,48.30266571044922
2020-03-06,70.14152526855469,95.05449676513672,64.4787368774414,154.65135192871094,46.89866638183594
2020-03-09,64.59388732910156,90.03050231933594,60.50025177001953,144.1702423095703,40.53333282470703
2020-03-10,69.24604034423828,94.59100341796875,63.45512390136719,154.0292205810547,43.02199935913086
2020-03-11,66.84107971191406,91.04299926757812,60.25691604614258,147.05137634277344,42.28200149536133
2020-03-12,60.240211486816406,83.83049774169922,55.31304931640625,133.10525512695312,37.369998931884766
2020-03-13,67.4574966430664,89.25,60.42461013793945,152.0286865234375,36.44133377075195
2020-03-16,58.77928924560547,84.4574966430664,53.39472579956055,129.6211395263672,29.67133331298828
2020-03-17,61.36381149291992,90.39199829101562,55.63700485229492,140.29371643066406,28.68000030517578
2020-03-18,59.86164093017578,91.5,54.29990005493164,134.38787841796875,24.08133316040039
2020-03-19,59.40296936035156,94.04650115966797,55.31902313232422,136.59896850585938,28.50933265686035
2020-03-20,55.631744384765625,92.30449676513672,53.1563606262207,131.46852111816406,28.50200080871582
2020-03-23,54.44989776611328,95.1415023803711,52.455711364746094,130.1571807861328,28.952667236328125
2020-03-24,59.91259765625,97.00499725341797,56.23166275024414,141.98785400390625,33.66666793823242
2020-03-25,59.58255386352539,94.29199981689453,54.81891632080078,140.62872314453125,35.95000076293945
2020-03-26,62.717979431152344,97.77449798583984,57.869327545166016,149.42515563964844,35.21066665649414
