Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,PCAR,PG,PCAR,PG,PCAR,PG,PCAR,PG,PCAR,PG
Date,,,,,,,,,,
2010-01-04,14.336949348449707,38.95023727416992,14.489678518873742,39.071321048789954,14.22338087174728,38.637973966067946,14.485761553170757,38.943865595458085,3947550,9190800
2010-01-05,14.595410346984863,38.962974548339844,14.603243156519092,39.05219261687287,14.286036218442625,38.618845628846685,14.325198025287122,38.95660287102036,3448950,8649400
2010-01-06,14.787296295166016,38.778167724609375,14.932193710014387,38.848268336359375,14.509252357307119,38.555122533595984,14.517084044372961,38.83552254958572,5347500,9908400
2010-01-07,14.983107566833496,38.56786346435547,15.002689031243975,38.68257309986525,14.677650391073117,38.389427334011344,14.744224232911314,38.60610081986204,3683550,8972800
2010-01-08,15.002687454223633,38.51688003540039,15.12017062627032,38.574234852726015,14.853874166496146,38.27471741203439,14.955692840909059,38.46589932611647,3606450,8464600
2010-01-11,15.24940299987793,38.36393737792969,15.323809646416672,38.40854641239275,14.877372008010799,37.605578930037474,14.979190686084202,38.28746509470873,3935400,14774600
2010-01-12,15.20632553100586,38.80364990234375,15.272899364127902,39.10316974147416,14.959609419538033,38.55511319796305,15.13191888906246,38.682568603827676,3389550,13460700
2010-01-13,15.272906303405762,39.20513916015625,15.323815662429086,39.37720361791252,15.022274233858646,38.8164012108932,15.265074611439278,38.89924760114844,4074750,16968100
2010-01-14,15.24548625946045,39.24338150024414,15.31989290162634,39.34534536619531,15.128001969681334,39.1159260600526,15.178912426139336,39.141415203282655,3065250,9139500
2010-01-15,14.881291389465332,38.7590446472168,15.323814442335744,39.421810877409676,14.842130691923463,38.51687959560596,15.241576081166908,39.2561181043565,6112050,15768300
2010-01-19,15.041849136352539,39.332611083984375,15.151500627065976,39.40271171814489,14.712894664212225,38.74631686001457,14.826461999490668,38.74631686001457,2802750,11577700
2010-01-20,14.763805389404297,38.79985809326172,14.881288580265776,39.17854993621447,14.383941541053824,38.57520897883532,14.857792390258853,39.133620603022194,3235950,11557800
2010-01-21,14.524921417236328,38.40831756591797,14.92828255864797,39.10793440917902,14.37219226731722,38.15799636989632,14.744224409792297,38.870450511474424,4476900,14298400
2010-01-22,14.160719871520996,38.71000671386719,14.591494133863087,38.953908154691476,14.133306719463599,38.010389531575434,14.540583674209836,38.35056953220149,4674450,17703200
2010-01-25,14.141144752502441,38.915401458740234,14.434854483466458,39.140048182976095,14.10198293218084,38.607313473302916,14.372196467282864,39.04377206478887,5185800,11630800
2010-01-26,13.972742080688477,38.95390701293945,14.215542297681804,39.12078951857573,13.92966444212305,38.511031037456256,14.145051514537197,38.620144450132315,3679500,13079000
2010-01-27,14.062811851501465,39.03091812133789,14.090224993449604,39.140031498463976,13.710360210431775,38.47892646455632,13.863089292242403,38.8062690443992,4307400,15228400
2010-01-28,13.796525001525879,39.5893440246582,14.254711442780868,40.635561157065695,13.671207854757789,39.5251599459563,14.098066409837823,39.58292414770862,6699600,26930000
2010-01-29,14.109816551208496,39.50590133666992,14.51709367968991,39.94877978850008,14.027577059954805,39.45455456525611,14.105899584662769,39.73696792919599,7951950,17067100
2010-02-01,14.141144752502441,39.78832244873047,14.215551426823883,39.9487851095282,13.953169583537955,39.48023198534884,14.160725102456386,39.69846130197239,5227500,12908100
2010-02-02,14.145052909851074,40.372406005859375,14.352607195539433,40.462264703193966,13.894420981347972,39.57651013945925,14.297782021385927,39.7498101050899,5562450,17680700
2010-02-03,14.04715347290039,40.211936950683594,14.372192113491728,40.346724975246175,14.000158854585145,40.02579970811691,14.039320663043394,40.26970359670548,3664500,11083500
2010-02-04,13.541975975036621,39.40962219238281,13.96100171802607,40.01296078878897,13.510646968465702,39.35185554869225,13.953168906176515,39.92310210937373,4955400,14306600
