Price,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ANTM,ANTM,AXP,ANTM,AXP,ANTM,AXP,ANTM,AXP,ANTM,AXP
Date,,,,,,,,,,,
2010-01-04,,,32.72036361694336,,32.864295085664246,,32.29656709809868,,32.6324082085475,,6894300
2010-01-05,,,32.64840316772461,,32.96824852543147,,32.280576583426026,,32.64840316772461,,10641200
2010-01-06,,,33.1761474609375,,33.320075874265704,,32.920266930920256,,32.96824510222977,,8399400
2010-01-07,,,33.71422576904297,,33.92303403052206,,33.01552780029052,,33.13599127705949,,8981700
2010-01-08,,,33.690120697021484,,34.11576366529433,,33.248415325320764,,33.53752939625182,,7907700
2010-01-11,,,33.304649353027344,,33.69816771705454,,33.12796588794228,,33.52148731556125,,7396000
2010-01-12,,,33.74634552001953,,34.01136757998148,,33.12795662865375,,33.144019035862186,,12657300
2010-01-13,,,33.85076141357422,,33.92304073936659,,33.38496063322516,,33.60982828520499,,10137200
2010-01-14,,,34.276397705078125,,34.32458493373483,,33.746350444219864,,33.7624128537721,,8238400
2010-01-15,,,34.043495178222656,,34.40489171098757,,33.74634827954536,,34.14789930181944,,13629000
2010-01-19,,,34.50127029418945,,34.57354961581717,,33.81863463938796,,33.92303878475951,,9533800
2010-01-20,,,34.517333984375,,34.734171957288524,,33.93909938993893,,34.47717948500404,,11643000
2010-01-21,,,33.85878372192383,,34.61369857761253,,33.35282855145188,,34.52535992183353,,16974300
2010-01-22,,,30.99170684814453,,33.32070391458232,,30.67046481705275,,33.21629979493883,,26170800
2010-01-25,,,30.349233627319336,,31.55388695725016,,30.116333248270667,,31.401295574760145,,17587600
2010-01-26,,,30.59818458557129,,31.505690691839717,,30.13238702456026,,30.14844943198698,,15709900
2010-01-27,,,31.055953979492188,,31.192482917439385,,30.381351216427593,,30.48575227437362,,12908300
2010-01-28,,,30.060115814208984,,31.055960833989268,,29.578255716069076,,31.055960833989268,,14148600
2010-01-29,,,30.244834899902344,,31.136279013946357,,30.00390480346698,,30.196647655178317,,14219900
2010-02-01,,,30.686540603637695,,30.766852678220506,,30.37333117174572,,30.38939358666228,,9357100
2010-02-02,,,31.337055206298828,,31.457518725032134,,30.879287095208863,,31.064000274807228,,11273000
2010-02-03,,,30.78290557861328,,31.24870321285311,,30.67046870894986,,31.24870321285311,,10657500
2010-02-04,,,30.140426635742188,,30.983686453972446,,30.092242461163526,,30.54197776305489,,12948000
2010-02-05,,,30.397411346435547,,30.493785798155805,,29.393533784616785,,30.244823059931925,,13024000
2010-02-08,,,29.546138763427734,,30.413487783852887,,29.538106023616862,,30.325146027488934,,9370300
2010-02-09,,,30.148456573486328,,30.389386614776175,,29.730843072241136,,29.93161861724796,,10677400
2010-02-10,,,30.317106246948242,,30.550006606358963,,29.714779632770462,,30.180580351591907,,8880300
2010-02-11,,,30.75078010559082,,30.903368401506032,,30.100266302515983,,30.365291465706562,,9907800
2010-02-12,,,30.855192184448242,,30.95156667650751,,30.092247368996766,,30.349239887303206,,10692600
2010-02-16,,,31.818897247314453,,31.826929982134008,,31.039890467306098,,31.16838665210268,,10961400
2010-02-17,,,31.36113166809082,,31.786777800214306,,31.17641858054667,,31.746620250390468,,9850000
2010-02-18,,,31.441444396972656,,31.53781577877342,,31.112172700861638,,31.377194766711487,,6853400
2010-02-19,,,31.369169235229492,,31.46554062975059,,30.99171026660072,,31.23264028469916,,9412300
