Price,Close,High,Low,Open,Volume
Ticker,CARR,CARR,CARR,CARR,CARR
Date,,,,,
2020-05-06,15.2319917678833,15.306795826252653,14.427846802810684,14.960825941626002,10647200
2020-05-07,15.344195365905762,15.933278824758684,14.848618307879747,15.157184347721191,12454100
2020-05-08,17.16754722595215,17.204948360977824,15.835097681811746,15.933279451126444,17693300
2020-05-11,17.1581974029541,17.532217690320387,16.84963044294324,17.23300146042736,9574600
2020-05-12,16.643918991088867,17.204950349057267,16.54106452028115,17.195599618353015,7743200
2020-05-13,15.372247695922852,16.30449383141007,15.054330032148746,16.092236020616664,10676300
2020-05-14,15.475102424621582,15.629386786292374,14.699010601921724,14.979526245005983,7797200
2020-05-15,15.624711036682129,15.86315018818682,14.960825271332057,15.241340031781792,7353800
2020-05-18,16.41015625,16.56911510673912,16.16704438295856,16.17639333029362,6135000
2020-05-19,16.615863800048828,16.756121153304516,16.03613114753124,16.30729690949871,8338100
2020-05-20,17.513513565063477,17.81272974942495,16.868329336334973,16.980534513735957,11910000
2020-05-21,18.186750411987305,18.252203724519255,17.298450870133394,17.33585378213394,9711500
2020-05-22,17.812732696533203,18.570125794911302,17.719228961051947,18.205454449350555,5937100
2020-05-26,18.242855072021484,19.262061354895106,18.083896244872317,18.336360579192032,7305400
2020-05-27,18.691680908203125,18.8225875589592,18.16805252170947,18.298959172465544,8969700
2020-05-28,18.32700538635254,19.131148271833904,18.2381743736153,18.77582957129127,8509200
2020-05-29,19.1405029296875,19.617379392926345,17.653770951198496,17.728574997384836,32990600
2020-06-01,20.402820587158203,20.524378263876375,19.215304920441337,19.215304920441337,7695700
2020-06-02,19.972698211669922,20.4112371840846,19.54724990161183,20.28126509826734,8295600
2020-06-03,20.77684783935547,21.113467017325206,19.991404279739122,20.075559074231556,9636300
2020-06-04,21.206966400146484,21.6183895225561,20.59918333644283,20.59918333644283,6651900
2020-06-05,22.029813766479492,22.815257202166997,21.861504204050842,22.01111409113019,7843600
2020-06-08,22.78720474243164,22.796553687528554,21.796048916061924,22.095265096298398,8570400
2020-06-09,21.702543258666992,22.40383184488195,21.702543258666992,22.19812116830777,6850000
2020-06-10,20.758146286010742,21.646444238180987,20.60853817230903,20.861000749512296,10262100
2020-06-11,19.692182540893555,20.384120382423138,18.701028528266754,18.850636613815364,6834800
2020-06-12,20.141010284423828,20.860998588218244,19.654783073533906,20.571133120886227,5212800
2020-06-15,20.543081283569336,21.07606214889344,19.290112102187724,19.374266881793147,7735600
