Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2010-08-09,43.07473373413086,43.19146763101817,42.75696005008951,42.80235629066684,5492700
2010-08-10,43.14605712890625,43.34061520868208,42.8023421427441,42.83477013864591,7411000
2010-08-11,42.44566345214844,42.84774793110784,42.44566345214844,42.789383462839766,5544600
2010-08-12,42.27058029174805,42.38082762553461,42.01117101685819,42.095481876194114,4924700
2010-08-13,42.51701354980469,42.61429263988679,42.063051059848284,42.1992398068352,4516700
2010-08-16,42.43269729614258,42.47809353406775,42.02413115481595,42.34839141080119,3564500
2010-08-17,42.51052474975586,42.802357023058114,42.29651177716396,42.594830641465144,4357200
2010-08-18,42.49106979370117,42.69859619882009,42.31597139943388,42.581867234521745,3857900
2010-08-19,41.933353424072266,42.49107670848688,41.6739441385037,42.47810847072771,4549600
2010-08-20,42.024131774902344,42.335418854462816,41.699871514132475,41.699871514132475,5655000
2010-08-23,42.03711700439453,42.413260246443265,42.01117557930625,42.24464345727988,3263900
2010-08-24,42.011173248291016,42.30949219852249,41.6415166199802,41.82958823056931,5442800
2010-08-25,41.87495803833008,42.0565429413695,41.6350037319894,41.74525594982121,5322700
2010-08-26,41.58961868286133,42.03709941976094,41.40803373102347,42.03709941976094,4604900
2010-08-27,41.5831413269043,41.81012254010074,41.103235009690806,41.6350192129068,5227700
2010-08-30,41.24592208862305,41.78419554268651,41.24592208862305,41.56369589676006,3697900
2010-08-31,41.622066497802734,41.725827256315924,40.97354567667637,41.17458802183336,6624800
2010-09-01,42.39961624145508,42.50416384408223,42.15785364920785,42.15785364920785,6382100
2010-09-02,42.451873779296875,42.67402987211462,42.15783749838247,42.451873779296875,4158600
2010-09-03,42.84391784667969,42.93539447282883,42.54335107717503,42.54335107717503,5862600
2010-09-07,42.78511428833008,43.13141937663748,42.53681631173056,42.53681631173056,5284700
2010-09-08,42.75244140625,42.9288591902748,42.64136335760097,42.75897687531826,4318900
2010-09-09,43.19022750854492,43.26210272029736,42.74591028366752,43.05954802450565,5835800
2010-09-10,43.392791748046875,43.45159602651137,43.03341565153065,43.22290441286618,4234800
2010-09-13,43.288238525390625,43.464656322916866,43.02687457878283,43.4189180061432,4469200
2010-09-14,43.1118278503418,43.36012089883308,43.07915548220455,43.235971882035706,4145400
2010-09-15,43.451602935791016,43.47773983652127,42.96808273504143,43.01382106504336,4745000
2010-09-16,43.523475646972656,43.55614801727012,43.23597474068716,43.38626066491016,4174900
2010-09-17,43.203311920166016,43.71296904599022,43.190240976624494,43.62149238161687,7908400
2010-09-20,43.70642852783203,43.76523779677005,43.15756860496382,43.294783585680875,5057100
2010-09-21,43.42546463012695,43.71950101500141,43.0791594305871,43.71950101500141,7455500
2010-09-22,43.55612564086914,43.712941970506215,43.32742913648441,43.53651923770092,5225800
2010-09-23,42.987667083740234,43.249031002089296,42.90272592894519,43.249031002089296,5877800
2010-09-24,43.20981979370117,43.392778011804104,43.013800609100606,43.190218373751286,6366300
2010-09-27,43.366661071777344,43.62148961854812,43.16410134054887,43.170636811905666,5230300
2010-09-28,43.634544372558594,43.7194905230741,43.00073841149398,43.35357899760529,5305300
2010-09-29,43.614933013916016,43.7782848229569,43.27516344455568,43.47771809253386,5553200
2010-09-30,43.412391662597656,43.980852941707326,43.28824265446882,43.74562586583328,7002300
2010-10-01,43.77828598022461,43.77828598022461,43.30783196013428,43.62146963522841,5397000
2010-10-04,43.69334411621094,43.77174979487388,43.46464759317297,43.77174979487388,4890200
2010-10-05,44.27488708496094,44.314089933962784,43.71949178865562,43.797897486659316,7246100
2010-10-06,44.50356674194336,44.50356674194336,44.0396482078163,44.13766028913363,7204100
2010-10-07,43.19022750854492,43.58227094576551,42.58909390579984,43.51693120374588,20029500
2010-10-08,42.96152877807617,43.22289268781489,42.64789108936932,43.20982175052189,8810500
2010-10-11,42.81126022338867,42.9680816237142,42.66751475074621,42.95501068113509,5283100
2010-10-12,43.17716598510742,43.43199449470694,42.471484734630316,42.66097349550491,7807800
2010-10-13,43.38624954223633,43.6476134823003,43.25556507965308,43.32744028779824,5990500
2010-10-14,43.543067932128906,43.67374741567165,43.41891893319137,43.41891893319137,6162300
2010-10-15,43.5692138671875,43.778304075307204,43.425463414398244,43.70642884891257,6272100
2010-10-18,43.451602935791016,43.79137267507621,43.438536977977925,43.660693156529,4820100
2010-10-19,42.739383697509766,43.26864213677872,42.4388118836178,43.164094551928784,8357700
2010-10-20,42.451873779296875,43.007268996443415,42.38653404523884,42.928858324512476,11569400
2010-10-21,42.589107513427734,42.77859631540011,42.35388037891751,42.48455990471014,8670700
2010-10-22,42.4780158996582,42.798184125531876,42.37346832421215,42.62829680798343,5043200
2010-10-25,42.5041618347168,42.6871151455612,42.39307876590083,42.589103019007744,6580800
2010-10-26,42.33428192138672,42.46496145635602,42.17746548240262,42.3408173936666,6900800
2010-10-27,41.994483947753906,42.151305285181785,41.67431577443375,42.14476981651347,7961700
2010-10-28,42.4780158996582,42.54989111150167,42.0467646285974,42.05983556807955,6436100
2010-10-29,42.66749954223633,42.66749954223633,42.37999872922099,42.517213666768626,5549400
2010-11-01,42.830848693847656,43.053004773583574,42.56294931935237,42.79164086763989,5916600
2010-11-02,42.99422073364258,43.19024001646881,42.902744071302834,42.974614318766164,4670800
2010-11-03,42.60216522216797,42.96154132616201,42.19705577959657,42.94193989959932,7577100
2010-11-04,42.700172424316406,43.0138101685228,42.14477713353075,42.95500091050162,9981300
2010-11-05,42.52376937866211,42.7001872437472,42.31467913832572,42.64138295042036,6940900
2010-11-08,42.54334259033203,42.674022034447034,42.308115602844026,42.47146740053841,5521500
2010-11-09,42.66749954223633,42.74590522934801,42.34079588566515,42.68710096401425,6301300
2010-11-10,42.63483810424805,42.72631475271325,42.223193186154624,42.49762313155024,7065800
2010-11-11,42.406150817871094,42.615241033608264,42.27546631734538,42.45842461808138,4743500
2010-11-12,42.23625564575195,42.40614297245311,42.05983783406067,42.22972017565878,4914000
2010-11-15,42.092498779296875,42.45187480293492,42.053295934937196,42.379999598207306,5533000
2010-11-16,41.84421157836914,42.47148210040898,41.70699661902633,42.00102796260335,8021500
2010-11-17,41.77886199951172,41.97488369163412,41.635114087982515,41.89647800584642,5016700
2010-11-18,42.321189880371094,42.46494028824281,41.56323998218691,41.81806843792232,6984000
2010-11-19,42.28199005126953,42.28199005126953,41.99448921502647,42.09250131693684,5511800
2010-11-22,42.27545166015625,42.37346375529307,41.929146577761415,42.31465948927232,4630100
2010-11-23,41.7462043762207,41.97489600200888,41.55018262660915,41.88995482246,7198400
2010-11-24,42.0337028503418,42.08597664325832,41.75273744479459,41.94875669057664,5270200
2010-11-26,41.75273513793945,42.040231012889514,41.73313122040306,42.03370052796321,2386800
2010-11-29,41.824615478515625,41.90955665889394,41.445637932021114,41.6612611109338,5782100
2010-11-30,42.22971725463867,42.380003145768114,41.667789000518944,41.85074476219991,11252100
2010-12-01,43.204002380371094,43.26325168373181,42.51937334013917,42.65103566849393,9970600
2010-12-02,42.920936584472656,43.15792376377478,42.63128949386246,43.118427574692596,8829800
2010-12-03,42.90118408203125,43.20399988615891,42.80902296870561,42.841939804495055,5679100
2010-12-06,42.61153793334961,42.901185000400254,42.57862109685553,42.89460565102472,4502700
2010-12-07,42.5786247253418,42.83536000018106,42.532544163765635,42.776115716327936,5630100
2010-12-08,42.54570007324219,42.71027419470787,42.44037524715403,42.657614292865595,5431600
2010-12-09,42.604949951171875,42.6510305049162,42.31529788626261,42.6510305049162,6173400
2010-12-10,42.72344970703125,42.789278361568165,42.51937434884108,42.683948496385575,5426900
2010-12-13,43.138179779052734,43.2632577529353,42.65762602475495,42.82877954202005,9261700
2010-12-14,43.177677154541016,43.36200444514487,43.006523632587985,43.21059399775013,5751600
2010-12-15,42.94727325439453,43.10526807099456,42.85511212258035,43.03285503565414,4526400
2010-12-16,43.28298568725586,43.30931814435468,42.914341332677736,42.94725313724927,4830000
2010-12-17,43.427833557128906,43.44758165429603,43.09210083807226,43.26984375738674,7334800
2010-12-20,43.651634216308594,43.677966675925624,43.282989826476424,43.32907037520545,5549500
2010-12-21,43.05258560180664,43.78329500823239,42.86826341323131,43.691133913944725,7830800
2010-12-22,43.23691177368164,43.263244234818764,42.92751163332472,43.092085748629174,3977600
2010-12-23,43.243499755859375,43.394905142037516,43.12500618204856,43.21716729252321,3297400
2010-12-27,43.065765380859375,43.256672010909746,43.0591860305301,43.21059144658068,2358500
2010-12-28,42.973609924316406,43.13818410755745,42.90778125550109,42.920944980301954,3071200
2010-12-29,43.00651168823242,43.29615873392635,43.00651168823242,43.07892470525684,3248600
2010-12-30,42.8682861328125,43.19743450754182,42.848533011508025,42.99335909997382,3507400
2010-12-31,43.00651168823242,43.15133772228125,42.80902072863789,42.82218947122618,2977400
2011-01-03,43.28298568725586,43.50680403899182,43.18424022873596,43.38831551565112,6787300
2011-01-04,43.05917739868164,43.57264787610274,42.868270806901315,43.51339857818286,7897100
2011-01-05,43.835960388183594,44.02686697092446,43.15791581434055,43.256661291262176,10381900
2011-01-06,44.00053024291992,44.072943250814866,43.697714492815216,43.91495351650004,7648900
2011-01-07,43.70431137084961,43.98737911297544,43.61215024759046,43.98737911297544,4899100
2011-01-10,43.48049545288086,43.65823333734307,43.342248737582125,43.53315536750366,5220500
2011-01-11,43.664798736572266,43.94128200222084,43.45414410240154,43.671378084038196,4686400
2011-01-12,43.928123474121094,44.151941852066024,43.80962991450224,43.91495473282831,5265100
2011-01-13,44.04661560058594,44.40867561590523,43.87545712617145,43.90836893352607,7943000
2011-01-14,43.96104431152344,44.211200223432414,43.82280263397576,44.20461585143369,5986100
2011-01-18,43.82279586791992,44.204609026427505,43.710886673241205,43.750382854326986,6066000
2011-01-19,43.381744384765625,43.90179927076862,43.243502709611036,43.88863052699912,7872400
2011-01-20,43.381744384765625,43.66481210695955,43.32249508261127,43.40807684990043,7131000
2011-01-21,43.36198806762695,43.658219455003945,43.230325766923556,43.57264272634916,5564400
2011-01-24,43.56607437133789,43.56607437133789,43.184261092541874,43.30933906859007,4713700
