Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2010-01-04,160.70233154296875,161.38938437015557,157.29402657596836,158.99817905946855,238700
2010-01-05,161.3961639404297,161.4365770107446,159.4764608765236,161.01896158016586,198800
2010-01-06,158.06866455078125,160.74950408919125,157.65778125676928,160.65520351079468,278500
2010-01-07,159.8064727783203,160.10958099774956,157.61734301423374,158.06190721765827,218300
2010-01-08,160.93136596679688,161.26142311542606,159.46970192799643,159.9479471614802,224400
2010-01-11,163.55160522460938,164.21845168569504,161.62517017057712,161.62517017057712,207900
2010-01-12,160.62828063964844,163.80757227724482,160.62828063964844,162.494096135821,208100
2010-01-13,161.26821899414062,161.6252149003304,157.76561163873401,157.76561163873401,203400
2010-01-14,160.24436950683594,161.8542221976375,159.63815278467456,161.0998173384153,163900
2010-01-15,160.372314453125,160.7831977796175,159.07231278546416,160.21066217909058,197000
2010-01-19,161.6655731201172,162.23811895998028,157.77229018742668,160.10287633466672,187600
2010-01-20,160.48678588867188,161.24793276965144,158.51320611004903,160.98523760476328,203000
2010-01-21,155.08473205566406,161.6723295800092,154.84224336184798,161.6723295800092,354700
2010-01-22,151.5551300048828,158.7489419090127,149.94527814617277,154.57950052150113,282600
2010-01-25,152.53858947753906,153.77122907049346,150.78728129108134,151.85153653940662,195600
2010-01-26,151.35980224609375,154.17535494020225,150.5447678842258,151.2520272386088,203100
2010-01-27,152.74737548828125,155.6841777011451,147.2105602600013,153.81836266944728,560200
2010-01-28,147.94480895996094,153.87903500879466,145.31785643053206,152.90234805698105,632900
2010-01-29,144.02455139160156,151.42717209633233,143.24319791051883,151.42717209633233,483100
2010-02-01,145.8769073486328,147.66861842928438,144.83285857029543,144.9877787545413,426400
2010-02-02,145.4929656982422,145.74892883426165,140.9732491396512,143.37119739300667,716700
2010-02-03,148.61839294433594,149.46036625694614,144.8530907570617,145.3650068310507,601700
2010-02-04,142.29348754882812,146.58418019211152,141.78830356936484,146.02510868814616,540500
2010-02-05,140.63645935058594,143.13544026529934,135.0929108242667,141.74787011238283,884900
2010-02-08,137.8545684814453,141.42453633337928,137.82088750324007,141.04732376666865,356400
2010-02-09,140.69711303710938,141.02716000082722,138.1846572485934,139.34321335983537,564800
2010-02-10,142.212646484375,143.4116155143017,140.19191077847697,140.19191077847697,619400
2010-02-11,139.63284301757812,142.2934763782834,138.8312828552759,141.97016153464668,437100
2010-02-12,139.53851318359375,139.53851318359375,136.61518519795004,138.33954437329766,396400
2010-02-16,141.72767639160156,141.72767639160156,139.43077088755663,140.30642512747337,277100
2010-02-17,143.5328369140625,143.930245753528,141.41780088210345,141.72090914478065,372500
2010-02-18,143.96389770507812,144.98100759034304,142.30015836021786,144.41519396570968,350900
2010-02-19,145.16294860839844,145.6209874900068,143.87642104354794,144.3142431074715,294800
2010-02-22,146.32150268554688,147.71581557146007,145.51994236307453,146.51684627031517,374900
2010-02-23,144.73179626464844,147.65513450856787,144.66444458737305,146.54372391461501,276000
2010-02-24,147.08258056640625,147.5001958875256,145.8297243250575,146.33490812756924,280500
2010-02-25,147.04217529296875,147.59450426840704,144.54319476190017,145.82973204714023,359100
2010-02-26,147.3790283203125,148.08628804308694,146.5033739148773,146.5033739148773,302500
2010-03-01,146.8401336669922,148.05930927910612,145.73546518263547,146.77951406017843,389700
2010-03-02,145.76910400390625,148.40279801450095,145.76910400390625,148.1131539579593,568200
2010-03-03,145.54685974121094,147.66189605590873,144.54322396423262,146.9479044107805,500900
2010-03-04,146.06117248535156,147.46196799108972,143.65208507673623,147.46196799108972,300600
2010-03-05,148.76126098632812,148.79509857433112,145.8040395937881,146.84616915411834,557200
2010-03-08,147.60401916503906,148.7611981005621,146.46715103435753,148.7611981005621,293900
2010-03-09,146.82582092285156,148.1183399534875,146.07467214687884,146.8393580188073,323100
2010-03-10,145.9663848876953,148.1183286461127,145.7566063824003,147.38748040697723,502000
2010-03-11,142.3866424560547,145.8040321543474,141.872335926528,145.0122718734478,730900
2010-03-12,142.10914611816406,144.64004605678687,140.99257838611845,143.4490294617745,601600
2010-03-15,143.57765197753906,144.2814366134684,141.19562835142574,141.4460182342957,384800
2010-03-16,143.69944763183594,144.48442379395203,142.5084308017085,144.48442379395203,290400
