Price,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,SQ,SO,SPGI,SQ,SO,SPGI,SQ,SO,SPGI,SQ,SO,SPGI,SQ,SO,SPGI,SQ
Date,,,,,,,,,,,,,,,,
2010-01-04,,16.92200469970703,25.929237365722656,,17.07977446499263,26.168392383086633,,16.881289170050113,25.75179872792577,,17.01361270001179,26.168392383086633,,5119300,1572200,
2010-01-05,,16.58102035522461,25.952383041381836,,16.972896638054316,25.952383041381836,,16.5403048268446,25.70551161439367,,16.972896638054316,25.83666371538463,,4948100,1443400,
2010-01-06,,16.81513023376465,25.7209415435791,,16.90164782671585,25.92152347516212,,16.57084286720292,25.612935661731356,,16.6319142234875,25.76723103991652,,5061700,1328300,
2010-01-07,,16.74387550354004,26.291826248168945,,16.840571953506963,26.32268296087301,,16.606463532688377,25.65921507924635,,16.840571953506963,25.73636421835337,,3481100,2010700,
2010-01-08,,16.708250045776367,26.191539764404297,,16.754052093684216,26.276402365152066,,16.591193896380137,25.92923851797457,,16.754052093684216,26.18382337727846,,3513800,1075400,
2010-01-11,,16.92708969116211,26.044958114624023,,16.957626332128577,26.353548858263277,,16.723517908987734,25.890665685743837,,16.81003547959169,26.353548858263277,,3609500,765000,
2010-01-12,,16.820219039916992,25.651512145996094,,17.01361393700169,25.96010294297353,,16.794772802742983,25.58207936382317,,16.906738576016775,25.798091155943407,,4354600,2621400,
2010-01-13,,17.05941390991211,25.751800537109375,,17.10521790257275,26.014101790310757,,16.850751708107634,25.528072391714772,,16.90164417043146,25.705511041977548,,4961300,2024900,
2010-01-14,,17.018699645996094,25.7209415435791,,17.054324760542993,25.836663812952864,,16.932182065360227,25.612935661731356,,17.04414782046371,25.78265792908943,,2654200,1706000,
2010-01-15,,16.967809677124023,25.636070251464844,,16.97798856012451,25.998663825891615,,16.759147429172636,25.489491310475017,,16.87111320075455,25.713219385884667,,7412400,1696900,
2010-01-19,,17.125577926635742,25.80579376220703,,17.125577926635742,25.921513042065616,,16.84566352260453,25.296621279189473,,16.993254400834942,25.56663587513122,,4693100,1912700,
2010-01-20,,17.013608932495117,25.983240127563477,,17.069591802664803,26.037243062925512,,16.866018082306464,25.497210766365875,,17.054322511713057,25.53578387120458,,8748000,1668300,
2010-01-21,,16.87110710144043,25.7209415435791,,17.166286836046176,26.345836500906206,,16.799854946196415,25.65150877054276,,17.044144167044735,26.060389021234812,,4380800,1454900,
2010-01-22,,16.560659408569336,25.659217834472656,,16.972893376369957,25.867516118020074,,16.55048052843041,25.4740657666121,,16.86092957768754,25.628361118455267,,5910100,2397200,
2010-01-25,,16.692983627319336,25.767223358154297,,16.754054976460857,25.882942650090094,,16.504679168302783,25.589781813229777,,16.687895157150535,25.882942650090094,,4476600,1825100,
2010-01-26,,16.779502868652344,26.407548904418945,,16.85075309835329,26.70842322789438,,16.591196471387672,25.21176505394057,,16.682804464266933,25.76722715447313,,5362200,2805500,
2010-01-27,,16.74895668029785,27.549335479736328,,16.911814810081186,28.06622458342393,,16.341811355839514,27.009303098086797,,16.754045147481435,27.009303098086797,,9757100,3966600,
2010-01-28,,16.479719161987305,27.433610916137695,,16.80467191398642,28.289944409786305,,16.474561072485177,27.256172285402986,,16.7221424819524,27.510757123260905,,5068900,3892300,
2010-01-29,,16.50550651550293,27.348752975463867,,16.608666324746764,27.88106895823251,,16.42813715047248,27.209887424665148,,16.53645504855899,27.51076180374915,,5421300,2731500,
2010-02-01,,16.50550651550293,27.341028213500977,,16.577717791690702,27.757624738299445,,16.376557245850563,27.24073874648334,,16.55192833128217,27.49532354967879,,3769100,1801400,
2010-02-02,,16.5828800201416,27.425893783569336,,16.593194232180096,27.603332409477016,,16.355928003093144,26.970724110870822,,16.495193476933768,27.36417740813753,,4712400,2077300,
2010-02-03,,16.50550651550293,27.425893783569336,,16.577717791690702,27.64190845492836,,16.42813715047248,27.19445222555667,,16.50550651550293,27.29474464643982,,3143100,1267700,
2010-02-04,,16.28887176513672,26.51555824279785,,16.520979861111563,27.233029235641897,,16.28887176513672,26.500128410991156,,16.448768584648928,27.233029235641897,,4895000,1633000,
2010-02-05,,16.350759506225586,26.399837493896484,,16.37139086734474,26.692995453583876,,16.149598078438796,25.844375350590955,,16.28370536902854,26.530986642766212,,7399800,2269100,
2010-02-08,,16.056764602661133,25.96010398864746,,16.355926905763493,26.28412168987926,,16.041291318031423,25.828951864620254,,16.345611710612012,26.28412168987926,,3802600,1965400,
