Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,PM,PSA,PSX,PM,PSA,PSX,PM,PSA,PSX,PM,PSA,PSX,PM,PSA,PSX
Date,,,,,,,,,,,,,,,
2010-01-04,23.954635620117188,45.8948974609375,,24.071133146634914,47.040408481380716,,23.42069309843558,45.539791841257866,,23.45952622449661,46.828491739256485,,7844500,1579100,
2010-01-05,23.745925903320312,46.27289962768555,,24.061438753857658,46.35308501735911,,23.668261458034166,45.3794027885938,,23.964357734333365,45.74596581846611,,7168600,1131000,
2010-01-06,23.745925903320312,45.99225616455078,,23.784759051796605,46.63373935726663,,23.440123191568475,45.8318809965953,,23.619721874105238,46.23854113883319,,11777200,832400,
2010-01-07,24.042015075683594,45.92924499511719,,24.07599314472729,46.255715313531915,,23.57117532536414,45.207572155019875,,23.67310953249523,45.75168789578582,,8905400,1284100,
2010-01-08,23.91095733642578,45.0930290222168,,24.03716318698645,45.82042636810891,,23.67796405654376,44.78946502691591,,23.94008219078578,45.614234099870316,,6580800,1281100,
2010-01-11,23.998342514038086,45.40230941772461,,24.17308802763954,45.88915490470681,,23.906116538155963,44.84101168675431,,24.163379737809798,45.3851274583772,,6090900,1356700,
2010-01-12,23.86727523803711,44.66345977783203,,23.96435625155458,45.333582423501035,,23.711946357075686,44.394264090313,,23.96435625155458,44.93837987205598,,6752900,1694800,
2010-01-13,24.109970092773438,45.54551315307617,,24.216759362897516,45.61997416099948,,23.867268552793842,44.531737891621724,,23.867268552793842,44.726472654362,,5926400,1346400,
2010-01-14,24.076000213623047,45.31639862060547,,24.260453965207187,45.562683561958934,,24.01775234268411,44.989928290883526,,24.01775234268411,45.44812988587829,,4602200,785100,
2010-01-15,24.08570671081543,45.23048400878906,,24.255598944956052,45.39085478394042,,24.008042271446268,44.81809951852792,,24.105123283574294,45.18466253880985,,8269200,1438600,
2010-01-19,24.31385612487793,46.18699645996094,,24.367250794584244,46.23281794205023,,24.03232126703264,45.16176373954253,,24.076007646640807,45.1904032582926,,8804100,1330800,
2010-01-20,23.901256561279297,45.677242279052734,,24.2264758461225,46.026623415973084,,23.639138364987904,45.3106791796243,,24.221622628413296,45.940709233655866,,6461400,1262300,
2010-01-21,23.16828727722168,45.09876251220703,,23.93522498246969,45.96362445762648,,23.100331146714275,44.92120972259975,,23.891538634048402,45.78034289003202,,10276000,1944300,
2010-01-22,22.721721649169922,44.48591613769531,,23.187708219153055,45.49396698461574,,22.673180224172075,44.38854875691061,,23.105188722489732,45.08731112682895,,8717000,2070100,
2010-01-25,22.83821678161621,45.1102180480957,,23.119751484403782,45.41377772116367,,22.823655280322367,44.142259991139525,,22.85763335111866,45.001393120098854,,5880900,1502600,
2010-01-26,22.8139591217041,44.863922119140625,,23.008121216598155,45.56840866627755,,22.66348340557786,44.7035513399477,,22.66348340557786,44.75509721764143,,5858200,1222900,
2010-01-27,22.63920783996582,45.797508239746094,,22.862492896051858,45.820418973605975,,22.435339358756785,44.39998406272289,,22.741142080570338,44.97846807580186,,5177700,1669900,
2010-01-28,22.430484771728516,44.98992919921875,,22.862493387869453,46.16980368312716,,22.338258816578534,44.434355875894575,,22.648916614627453,45.9750646147463,,5594200,1664300,
2010-01-29,22.090700149536133,45.35076904296875,,22.857638140589245,46.015162980423334,,22.05186885406071,44.98420596648831,,22.58581166559579,45.11593725065467,,7064100,1834300,
2010-02-01,22.381942749023438,46.08963394165039,,22.44019061690106,46.42755757564801,,22.14894942584662,45.50542090792983,,22.20234407626208,45.53978920800472,,8066200,1303200,
2010-02-02,23.105192184448242,46.47335433959961,,23.163441903173485,46.62227190796273,,22.362525861531346,45.768867924611925,,22.430482015044483,46.22134066541205,,8715600,1392000,
2010-02-03,22.79939079284668,45.71161651611328,,23.027529056688763,46.26146128929494,,22.721726348453675,45.67152380462434,,22.974136255647537,46.227097356526656,,5001800,1056900,
2010-02-04,22.299419403076172,43.918880462646484,,22.721721464630473,45.717331914105905,,22.280004684900746,43.85587702449284,,22.61978539879591,45.40804350038163,,6728400,2768200,
2010-02-05,22.16350555419922,44.46299743652344,,22.435331957807893,44.71501119559193,,21.84799279736176,43.40340088464031,,22.435331957807893,44.033430912534875,,8451200,2080000,
2010-02-08,22.100404739379883,43.540863037109375,,22.464457100437095,44.73792408032212,,21.993617305936024,43.454953224012534,,21.993617305936024,44.42290686637749,,5242500,1531600,
2010-02-09,22.741140365600586,43.42058181762695,,22.81395159006521,44.090708900201356,,22.182927767481782,43.15138610314152,,22.294570287105543,43.97042643093108,,8742400,1472800,
2010-02-10,22.721721649169922,43.55803680419922,,22.857633935831828,44.04487787367402,,22.51785136751103,42.80772448464216,,22.721721649169922,43.363297754543936,,6480000,1105000,
